store,websites,attribute_set,type,has_options,sku,cost
admin,base,Default,simple,0,035000512109,0.89
admin,base,Default,simple,0,035000744609,0.89
admin,base,Default,simple,0,035000509093,0.89
admin,base,Default,simple,0,8000700000005,0.69
admin,base,Default,simple,0,067238891183,0.69
admin,base,Default,simple,0,800050405004,2.75
admin,base,Default,simple,0,800182406504,2.75
admin,base,Default,simple,0,819032405000,3.75
admin,base,Default,simple,0,800061901007,4.75
admin,base,Default,simple,0,824201806502,4.75
admin,base,Default,simple,0,800061606506,4.75
admin,base,Default,simple,0,800182005004,1.99
admin,base,Default,simple,0,809160501002,5.99
admin,base,Default,simple,0,054890000923,12
admin,base,Default,simple,0,855026005269,5.99
admin,base,Default,simple,0,636227600763,7
admin,base,Default,simple,0,855026005276,5.99
admin,base,Default,simple,0,636227600756,9
admin,base,Default,simple,0,855026005160,5.99
admin,base,Default,simple,0,855026005177,5.99
admin,base,Default,simple,0,854026005217,5.99
admin,base,Default,simple,0,855026005207,5.99
admin,base,Default,simple,0,9811016005153,5.99
admin,base,Default,simple,0,855026005191,5.99
admin,base,Default,simple,0,855026005252,5.99
admin,base,Default,simple,0,855026005214,5.99
admin,base,Default,simple,0,855026005238,5.99
admin,base,Default,simple,0,855026005184,5.99
admin,base,Default,simple,0,855026005085,5.99
admin,base,Default,simple,0,855026005115,5.99
admin,base,Default,simple,0,855026005108,5.99
admin,base,Default,simple,0,855026005122,5.99
admin,base,Default,simple,0,087169816666,30.99
admin,base,Default,simple,0,0087169816680,32.99
admin,base,Default,simple,0,087169816673,25.99
admin,base,Default,simple,0,0087169816697,27.99
admin,base,Default,simple,0,087169816772,45
admin,base,Default,simple,0,0087169816789,47
admin,base,Default,simple,0,077170101141,48.99
admin,base,Default,simple,0,018505124596,10.99
admin,base,Default,simple,0,018505124619,10.99
admin,base,Default,simple,0,077170107327,49.99
admin,base,Default,simple,0,716165150534,21
admin,base,Default,simple,0,716165152156,29.99
admin,base,Default,simple,0,718187101969,18.99
admin,base,Default,simple,0,018505128501,74.95
admin,base,Default,simple,0,070195595209,47.99
admin,base,Default,simple,0,070195591331,47.99
admin,base,Default,simple,0,070195599450,47.99
admin,base,Default,simple,0,077170101875,48.99
admin,base,Default,simple,0,515791213,39.99
admin,base,Default,simple,0,51579-2150,21
admin,base,Default,simple,0,51579 - 1202,24
admin,base,Default,simple,0,348001620156,7.99
admin,base,Default,simple,0,762446705009,10.99
admin,base,Default,simple,0,762446704200,10.99
admin,base,Default,simple,0,762446701001,10.99
admin,base,Default,simple,0,762446400201,8.09
admin,base,Default,simple,0,762446420209,8.09
admin,base,Default,simple,0,762446410200,8.09
admin,base,Default,simple,0,716165201861,45
admin,base,Default,simple,0,716165201595,44
admin,base,Default,simple,0,077170511445,
admin,base,Default,simple,0,899789002424,9.9
admin,base,Default,simple,0,816568010340,8.25
admin,base,Default,simple,0,816568010364,8.25
admin,base,Default,simple,0,816568010357,8.25
admin,base,Default,simple,0,816568010227,15.25
admin,base,Default,simple,0,816568010234,15.25
admin,base,Default,simple,0,816568010241,15.25
admin,base,Default,simple,0,716165177388,14.99
admin,base,Default,simple,0,716165201045,31.99
admin,base,Default,simple,0,716165177364,41.99
admin,base,Default,simple,0,716165174585,28.99
admin,base,Default,simple,0,716165158066,7.99
admin,base,Default,simple,0,716165179702,32.99
admin,base,Default,simple,0,716165177128,34.99
admin,base,Default,simple,0,086400901215,13.09
admin,base,Default,simple,0,086400901277,13.09
admin,base,Default,simple,0,086400901246,13.09
admin,base,Default,simple,0,079083127249,28.49
admin,base,Default,simple,0,077170632829,9.6
admin,base,Default,simple,0,077170632539,21.99
admin,base,Default,simple,0,812615003273,5
admin,base,Default,simple,0,812615003280,5
admin,base,Default,simple,0,10000267,150
admin,base,Default,simple,0,1.86351E+12,9.99
admin,base,Default,simple,0,018505129508,19.99
admin,base,Default,simple,0,8.16351E+12,19.99
admin,base,Default,simple,0,016165150115,1.69
admin,base,Default,simple,0,016165006597,1.69
admin,base,Default,simple,0,016165008683,2.24
admin,base,Default,simple,0,716165174325,2.24
admin,base,Default,simple,0,016165009116,2.24
admin,base,Default,simple,0,077170462020,10.19
admin,base,Default,simple,0,077170462013,10.19
admin,base,Default,simple,0,077170462006,10.19
admin,base,Default,simple,0,077170462600,10.19
admin,base,Default,simple,0,077170104005,5.59
admin,base,Default,simple,0,077170104029,5.59
admin,base,Default,simple,0,077170104111,6.15
admin,base,Default,simple,0,077170104135,6.15
admin,base,Default,simple,0,077170104159,6.15
admin,base,Default,simple,0,077170104050,2.59
admin,base,Default,simple,0,077170104074,2.59
admin,base,Default,simple,0,077170104098,2.59
admin,base,Default,simple,0,899789002868,8.99
admin,base,Default,simple,0,899789002837,8.99
admin,base,Default,simple,0,899789002851,8.99
admin,base,Default,simple,0,899789002844,8.99
admin,base,Default,simple,0,899789002721,3.5
admin,base,Default,simple,0,700729253748,3.5
admin,base,Default,simple,0,812615003426,3.55
admin,base,Default,simple,0,812615003433,3.55
admin,base,Default,simple,0,812615003419,3.55
admin,base,Default,simple,0,812615003471,7.49
admin,base,Default,simple,0,812615003464,7.49
admin,base,Default,simple,0,812615003488,7.49
admin,base,Default,simple,0,054890000688,19.99
admin,base,Default,simple,0,077170102063,6.09
admin,base,Default,simple,0,077170108201,7.49
admin,base,Default,simple,0,077170633864,3.49
admin,base,Default,simple,0,077170633871,3.49
admin,base,Default,simple,0,077170633826,7.99
admin,base,Default,simple,0,077170633888,3.49
admin,base,Default,simple,0,077170633802,7.99
admin,base,Default,simple,0,077170260916,21.99
admin,base,Default,simple,0,077170632522,9.6
admin,base,Default,simple,0,077170632720,9.6
admin,base,Default,simple,0,077170103794,3.49
admin,base,Default,simple,0,077170632874,8.25
admin,base,Default,simple,0,077170632881,8.25
admin,base,Default,simple,0,077170632867,3.49
admin,base,Default,simple,0,051623324318,11.25
admin,base,Default,simple,0,051623324301,11.25
admin,base,Default,simple,0,051623324325,11.25
admin,base,Default,simple,0,077170633703,3.25
admin,base,Default,simple,0,077170633604,8.45
admin,base,Default,simple,0,163054000218,120
admin,base,Default,simple,0,10000236,325
admin,base,Default,simple,0,10000212,85
admin,base,Default,simple,0,085806470004,19.49
admin,base,Default,simple,0,655708019610,8.99
admin,base,Default,simple,0,655708019665,8.99
admin,base,Default,simple,0,042037104610,27.59
admin,base,Default,simple,0,014558192858,8.99
admin,base,Default,simple,0,819358030023,8.99
admin,base,Default,simple,0,655708017821,8.99
admin,base,Default,simple,0,00026948140530,24.99
admin,base,Default,simple,0,00026948104112,24.99
admin,base,Default,simple,0,00026948110328,24.99
admin,base,Default,simple,0,071153660465,2.19
admin,base,Default,simple,0,071153785731,2.19
admin,base,Default,simple,0,071153785717,2.19
admin,base,Default,simple,0,071153002036,1.99
admin,base,Default,simple,0,021400502000,32.99
admin,base,Default,simple,0,021400502048,32.99
admin,base,Default,simple,0,021400502031,32.99
admin,base,Default,simple,0,20071611936099,40.99
admin,base,Default,simple,0,10071611836538,40.99
admin,base,Default,simple,0,071611836197,40.99
admin,base,Default,simple,0,856456002156,15.99
admin,base,Default,simple,0,856456002132,15.99
admin,base,Default,simple,0,856456002125,15.99
admin,base,Default,simple,0,073135008166,0.89
admin,base,Default,simple,0,076568796518,32.99
admin,base,Default,simple,0,076568796532,32.99
admin,base,Default,simple,0,076568796525,32.99
admin,base,Default,simple,0,079223056002,10.49
admin,base,Default,simple,0,079223023004,6.99
admin,base,Default,simple,0,079223012008,5.99
admin,base,Default,simple,0,00079191061442,18.99
admin,base,Default,simple,0,00079191061473,18.99
admin,base,Default,simple,0,00079191061466,18.99
admin,base,Default,simple,0,00079191061459,18.99
admin,base,Default,simple,0,642125393072,3.16
admin,base,Default,simple,0,077170260138,21.49
admin,base,Default,simple,0,077170260473,21.49
admin,base,Default,simple,0,856849000684,2.49
admin,base,Default,simple,0,856849000653,2.49
admin,base,Default,simple,0,018505125166,2.25
admin,base,Default,simple,0,018505125203,2.25
admin,base,Default,simple,0,018505125197,2.25
admin,base,Default,simple,0,018505125180,2.25
admin,base,Default,simple,0,018505125173,2.25
admin,base,Default,simple,0,018505125210,2.25
admin,base,Default,simple,0,018505125142,2.25
admin,base,Default,simple,0,10000229,180
admin,base,Default,simple,0,025900282745,19.99
admin,base,Default,simple,0,025900289911,29.5
admin,base,Default,simple,0,025900282714,29.5
admin,base,Default,simple,0,025900282790,29.5
admin,base,Default,simple,0,025900282813,29.5
admin,base,Default,simple,0,025900285937,29.5
admin,base,Default,simple,0,025900491000,15
admin,base,Default,simple,0,025900491604,15
admin,base,Default,simple,0,025900491109,15
admin,base,Default,simple,0,025900491307,
admin,base,Default,simple,0,070235505793,9.99
admin,base,Default,simple,0,070235505779,9.99
admin,base,Default,simple,0,041689200657,8.99
admin,base,Default,simple,0,041689300494,1.19
admin,base,Default,simple,0,012040801165,3.15
admin,base,Default,simple,0,037900990629,2.19
admin,base,Default,simple,0,037900990612,1.49
admin,base,Default,simple,0,037900990636,2.39
admin,base,Default,simple,0,037900991428,1.59
admin,base,Default,simple,0,41689200657,8.99
admin,base,Default,simple,0,031700010389,18.99
admin,base,Default,simple,0,853195006100,5
admin,base,Default,simple,0,630187580233,7
admin,base,Default,simple,0,616535050740,28.99
admin,base,Default,simple,0,031700010662,28.99
admin,base,Default,simple,0,031700010860,28.99
admin,base,Default,simple,0,031700010754,28.99
admin,base,Default,simple,0,070330602670,31
admin,base,Default,simple,0,070330618961,54.99
admin,base,Default,simple,0,070330618930,47
admin,base,Default,simple,0,070330601277,37.15
admin,base,Default,simple,0,070330639027,37.15
admin,base,Default,simple,0,070330639355,47
admin,base,Default,simple,0,070330622418,47
admin,base,Default,simple,0,070330620964,47
admin,base,Default,simple,0,070330611252,47
admin,base,Default,simple,0,847244002663,13.99
admin,base,Default,simple,0,847244002564,13.99
admin,base,Default,simple,0,847244000492,13.99
admin,base,Default,simple,0,847244002526,13.99
admin,base,Default,simple,0,847244002489,13.99
admin,base,Default,simple,0,847244005534,13.99
admin,base,Default,simple,0,847244002281,13.99
admin,base,Default,simple,0,847244002120,13.99
admin,base,Default,simple,0,847244002069,13.99
admin,base,Default,simple,0,847244000584,13.99
admin,base,Default,simple,0,847244001963,13.99
admin,base,Default,simple,0,847244001918,13.99
admin,base,Default,simple,0,847244001253,13.99
admin,base,Default,simple,0,847244001710,13.99
