"store","websites","attribute_set","type","category_ids","sku","has_options","exclude_from_supply_needs","name","meta_title","meta_description","image","small_image","thumbnail","url_key","url_path","custom_design","page_layout","options_container","image_label","small_image_label","thumbnail_label","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","videoid","taxunit","unitinbox","product_barcode_","upccode","retailupc","boxincase","price","special_price","weight","msrp","manufacturer","status","is_recurring","visibility","tax_class_id","new","sale","mv_created_userid","mv_shipping_","description","short_description","meta_keyword","custom_layout_update","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","mv_created_date","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_ordered_qty","stock_reserved_qty","stock_ordered_qty_for_valid_orders","shelf_location","is_favorite_warehouse","ideal_stock_level","use_config_ideal_stock_level","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","cost","default_supply_delay","outofstock_period_enabled","manual_supply_need_qty","waiting_for_delivery_qty","manual_supply_need_comments","manual_supply_need_date","outofstock_period_from","outofstock_period_to","supply_date"
"admin","base","Default","simple","5","818892013943","0","0","4KS 4/99C MANGO","","","","","","4ks-4-99c-mango","4ks-4-99c-mango.html","","","","","","","","","","","","60","15","","","","24","8.3900","","1.0000","","Pepsi","Enabled","","Catalog, Search","None","","","-1","","","","","","","","","","","","","24.0000","0.0000","1","0","1","0","1.0000","1","0.0000","1","1","","","1","1","1","0","1","0.0000","1","0","0","0","0","0","","0","","1","0","1","4KS 4/99C MANGO","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","5","818892017125","0","0","4KS 4/99C MELON BERRY","","","/8/1/818892017125.png","/8/1/818892017125.png","/8/1/818892017125.png","4ks-4-99c-melon-berry","4ks-4-99c-melon-berry.html","","","","","","","","","","","","60","15","","","","24","8.3900","","1.0000","","Pepsi","Enabled","","Catalog, Search","None","","","-1","","","","","","","","","","","","","120.0000","0.0000","1","0","1","0","1.0000","1","0.0000","1","1","","","1","1","1","0","1","0.0000","1","0","0","3","3","3","","0","","1","0","1","4KS 4/99C MELON BERRY","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","5","818892014438","0","0","4KS 4/99C MINT CHOCOLATE CHIP","","","/8/1/818892014438.png","/8/1/818892014438.png","/8/1/818892014438.png","4ks-4-99c-mint-chocolate-chip","4ks-4-99c-mint-chocolate-chip.html","","","","","","","","","","","","60","15","","","","24","8.3900","","1.0000","","Pepsi","Enabled","","Catalog, Search","None","","","-1","","","","","","","","","","","","","48.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","1","0","1","0.0000","1","0","0","0","0","0","","0","","1","0","1","4KS 4/99C MINT CHOCOLATE CHIP","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","5","818892013981","0","0","4KS 4/99C PINA COLADA","","","/8/1/818892013981.png","/8/1/818892013981.png","/8/1/818892013981.png","4ks-4-99c-pina-colada","4ks-4-99c-pina-colada.html","","","","","","","","","","","","60","15","","","","24","8.3900","","1.0000","","Pepsi","Enabled","","Catalog, Search","None","","","-1","","","","","","","","","","","","","24.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","1","0","1","0.0000","1","0","0","0","0","0","","0","","1","0","1","4KS 4/99C PINA COLADA","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","5","818892014377","0","0","4KS 4/99C PUMPKIN SPICE","","","/8/1/818892014377.png","/8/1/818892014377.png","/8/1/818892014377.png","4ks-4-99c-pumpkin-spice","4ks-4-99c-pumpkin-spice.html","","","","","","","","","","","","60","15","","","","24","8.3900","","1.0000","","Pepsi","Enabled","","Catalog, Search","None","","","-1","","","","","","","","","","","","","48.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","1","0","1","0.0000","1","0","0","0","0","0","","0","","1","0","1","4KS 4/99C PUMPKIN SPICE","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","5","818892017095","0","0","4KS 4/99C STRAWBERRY LEMONADE","","","/8/1/818892017095.png","/8/1/818892017095.png","/8/1/818892017095.png","4ks-4-99c-strawberry-lemonade","4ks-4-99c-strawberry-lemonade.html","","","","","","","","","","","","60","15","","","","24","8.3900","","1.0000","","Pepsi","Enabled","","Catalog, Search","None","","","-1","","","","","","","","","","","","","-2.0000","0.0000","1","0","1","0","1.0000","1","0.0000","1","1","2015-12-28 20:18:02","","1","1","1","0","1","0.0000","1","0","0","1","0","1","","0","","1","0","1","4KS 4/99C STRAWBERRY LEMONADE","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","5","818892013882","0","0","4KS 4/99C SWEET DELICIOUS","","","/8/1/818892013882.png","/8/1/818892013882.png","/8/1/818892013882.png","4ks-4-99c-sweet-delicious","4ks-4-99c-sweet-delicious.html","","","","","","","","","","","","60","15","","","","24","8.3900","","1.0000","","Pepsi","Enabled","","Catalog, Search","None","","","-1","","","","","","","","","","","","","-1.0000","0.0000","1","0","1","0","1.0000","1","0.0000","1","1","2015-12-07 18:35:03","","1","1","1","0","1","0.0000","1","0","0","1","0","1","","0","","1","0","1","4KS 4/99C SWEET DELICIOUS","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","5","818892013929","0","0","4KS 4/99C WATER MELON","","","/8/1/818892013929.png","/8/1/818892013929.png","/8/1/818892013929.png","4ks-4-99c-water-melon","4ks-4-99c-water-melon.html","","","","","","","","","","","","60","15","","","","24","8.3900","","1.0000","","Pepsi","Enabled","","Catalog, Search","None","","","-1","","","","","","","","","","","","","48.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","1","0","1","0.0000","1","0","0","0","0","0","","0","","1","0","1","4KS 4/99C WATER MELON","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","6","719410500122","0","0","5 HR BERRY","","","/7/1/719410500122.png","/7/1/719410500122.png","/7/1/719410500122.png","5-hr-berry","5-hr-berry.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","","0","12","","","","18","17.9900","16.2900","1.0000","","","Enabled","No","Catalog, Search","None","No","Yes","","","","","","","2015-12-01 00:00:00","2015-12-31 00:00:00","","","","","","-3.0000","0.0000","1","0","1","0","1.0000","1","0.0000","1","1","2015-12-23 04:34:00","","1","1","1","0","1","0.0000","1","0","0","0","0","0","","0","","1","0","1","5 HR BERRY","0","simple","","","","","","","","","","","",""
"admin","base","Default","simple","6","719410400125","0","0","5 HR CITRUS LIME","","","/7/1/719410400125.png","/7/1/719410400125.png","/7/1/719410400125.png","5-hr-citrus-lime","5-hr-citrus-lime.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","","0","12","","","","18","17.9900","16.2900","1.0000","","","Enabled","No","Catalog, Search","None","No","Yes","","","","","","","2015-12-01 00:00:00","2015-12-31 00:00:00","","","","","","-1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","2015-12-05 23:01:40","","1","1","1","0","1","0.0000","1","0","0","0","0","0","","0","","1","0","1","5 HR CITRUS LIME","0","simple","","","","","","","","","","","",""
